,StationName,WaterYear,pH,H (ueq/L),Ca (ueq/L),Mg (ueq/L),Na (ueq/L),K (ueq/L),NH4 (ueq/L),Cl (ueq/L),SO4 (ueq/L),NO3 (ueq/L),DOC (mg/L),Snow Depth (cm)
1376,SLUMGULLION PASS CO,2007,6,1,18.8,2.1,1.5,4.3,<1,2,5.2,6.5,0.96,99
1377,SLUMGULLION PASS CO,2008,5.5,3.2,12.9,1.6,1.2,1.2,1.7,1.1,2.7,5.1,0.28,147
1378,SLUMGULLION PASS CO,2009,6.4,0.4,20.4,2.5,1.5,2.5,1.6,1.4,3.3,5.4,1.29,84
1379,SLUMGULLION PASS CO,2010,6.1,0.8,18.9,2.5,1.4,1.3,2.7,1.1,2.9,5.8,0.57,127
1380,SLUMGULLION PASS CO,2011,5.9,1.3,13.4,1.9,1.7,1.3,3,0.8,3.1,5.1,0.79,124
1381,SLUMGULLION PASS CO,2012,5.4,4,19,4.1,2.2,8.2,3.2,3,4.2,4,1.5,89
1382,SLUMGULLION PASS CO,2013,5.5,3.2,18.5,3.3,2.2,3.6,2.9,2.3,3.7,7.1,1.1,84
1383,SLUMGULLION PASS CO,2014,5.9,1.3,11.5,2.5,1.3,1.9,3.2,1.3,3.5,5.8,0.88,114
1384,SLUMGULLION PASS CO,2015,5.7,2,7.8,1.7,1.2,1.7,4.2,1.7,2.7,4.1,0.69,104
1385,SLUMGULLION PASS CO,2016,7.3,0.1,228,45.5,4.3,32.2,4.4,3.7,8.3,5.1,1.31,102
1386,SLUMGULLION PASS CO,2017,6.1,0.8,11,1.6,4.8,1.7,2.8,5.6,2.3,3.8,0.32,163
1387,SLUMGULLION PASS CO,2018,6.3,0.5,20.9,3.3,3.5,1.7,5.8,3.9,4,7.2,0.72,99
3148,SLUMGULLION PASS CO,1993,5.4,4,5,<1.7,<3,,1.8,<1.1,5.2,3.8,1.5,94
3149,SLUMGULLION PASS CO,1994,5.6,2.5,9.9,2,<3,3.8,2.9,2.5,5.8,7.2,1.9,86
3150,SLUMGULLION PASS CO,1995,5.3,5,8,<1.7,<3,0.8,2.3,<1.1,4.6,6.5,1,130
3151,SLUMGULLION PASS CO,1996,6.1,0.8,18.4,<1.7,1.7,1.3,2,1.4,5.4,6.3,1,112
3152,SLUMGULLION PASS CO,1997,5.7,2,12.9,<1.7,,1,2.4,1.1,5.6,6.6,0.9,198
3153,SLUMGULLION PASS CO,1998,5.1,7.9,7.5,1.6,3.5,0.8,1.9,2.5,6.7,8.9,0.6,91
3154,SLUMGULLION PASS CO,1999,5.9,1.3,19.4,2.5,3.1,4.5,4.3,2.8,7.3,9.4,1.1,99
3155,SLUMGULLION PASS CO,2000,5.3,5,10,1.6,1.9,2.4,2.9,1.1,5.2,7.7,1,102
3156,SLUMGULLION PASS CO,2001,5.7,2,11.5,3.3,2.3,1.9,2.2,1.1,5.2,7.3,1,119
3157,SLUMGULLION PASS CO,2002,6.5,0.3,45.3,4.9,2.7,3.4,2.5,2.3,6.7,12.8,1.24,66
3158,SLUMGULLION PASS CO,2003,5.8,1.6,16.4,5.7,3.7,13.3,<1,5.6,4.8,6.8,4.09,74
3159,SLUMGULLION PASS CO,2004,5,10,7.8,2.8,<1,6.4,3.4,1.4,4.8,7.4,2.26,81
3160,SLUMGULLION PASS CO,2005,5.4,4,5.5,0.8,1.3,1.1,2.3,0.8,3.5,5.1,0.51,140
3161,SLUMGULLION PASS CO,2006,6.3,0.5,18.4,1.6,1.4,1.1,2.7,1.4,4,7.1,1.22,135
3162,SLUMGULLION PASS CO,2007,6,1,18.8,2.1,1.5,4.3,<1,2,5.2,6.5,0.96,99
3163,SLUMGULLION PASS CO,2008,5.5,3.2,12.9,1.6,1.2,1.2,1.7,1.1,2.7,5.1,0.28,147
3164,SLUMGULLION PASS CO,2009,6.4,0.4,20.4,2.5,1.5,2.5,1.6,1.4,3.3,5.4,1.29,84
3165,SLUMGULLION PASS CO,2010,6.1,0.8,18.9,2.5,1.4,1.3,2.7,1.1,2.9,5.8,0.57,127
3166,SLUMGULLION PASS CO,2011,5.9,1.3,13.4,1.9,1.7,1.3,3,0.8,3.1,5.1,0.79,124
3167,SLUMGULLION PASS CO,2012,5.4,4,19,4.1,2.2,8.2,3.2,3,4.2,4,1.5,89
3168,SLUMGULLION PASS CO,2013,5.5,3.2,18.5,3.3,2.2,3.6,2.9,2.3,3.7,7.1,1.1,84
3169,SLUMGULLION PASS CO,2014,5.9,1.3,11.5,2.5,1.3,1.9,3.2,1.3,3.5,5.8,0.88,114
3170,SLUMGULLION PASS CO,2015,5.7,2,7.8,1.7,1.2,1.7,4.2,1.7,2.7,4.1,0.69,104
3171,SLUMGULLION PASS CO,2016,7.3,0.1,228,45.5,4.3,32.2,4.4,3.7,8.3,5.1,1.31,102
3172,SLUMGULLION PASS CO,2017,6.1,0.8,11,1.6,4.8,1.7,2.8,5.6,2.3,3.8,0.32,163
3173,SLUMGULLION PASS CO,2018,6.3,0.5,20.9,3.3,3.5,1.7,5.8,3.9,4,7.2,0.72,99
1390,SNOW BOWL MT,1993,5.4,4,<3.1,<1.7,<3,1,3.5,<1.1,5,3.4,0.3,145
1391,SNOW BOWL MT,1994,5.1,7.9,<3.1,<1.7,<3,1.5,5,2.5,6.2,6.2,1,157
1392,SNOW BOWL MT,1995,5.2,6.3,<3.1,<1.7,<3,<0.5,2.9,<1.1,3.3,3.5,0.8,170
1393,SNOW BOWL MT,1996,5.3,5,<3.1,<1.7,<0.9,1,1.6,<1.1,2.7,3.1,1.4,231
1394,SNOW BOWL MT,1997,5.1,7.9,<3.1,<1.7,,<0.5,1.6,<1.1,2.7,4,0.7,348
1395,SNOW BOWL MT,1998,5.1,7.9,0.5,0.8,3.9,<0.5,2,0.8,3.1,4.2,0.6,211
1396,SNOW BOWL MT,1999,5.3,5,1,<0.2,<1,<0.4,2.3,0.8,2.5,2.8,0.4,241
1397,SNOW BOWL MT,2000,5.2,6.3,1,0.8,<1,<0.4,2,<0.6,2.9,3.6,0.5,145
1398,SNOW BOWL MT,2001,5.1,7.9,2.5,0.8,1,1.1,2.7,<0.6,5.2,5.6,1,160
1399,SNOW BOWL MT,2002,5.3,5,1.5,0.8,<1,0.6,3,0.8,3.3,4.4,0.5,267
1400,SNOW BOWL MT,2003,5.2,6.3,2,0.8,<1,0.6,2.7,0.8,2.5,3.3,0.47,221
1401,SNOW BOWL MT,2004,4.7,20,1.6,0.4,<1,0.9,1.7,0.8,2.5,3.4,0.81,198
1402,SNOW BOWL MT,2005,5.1,7.9,5,0.8,1.6,1.3,3.5,1.7,4.2,4.7,0.58,117
1403,SNOW BOWL MT,2006,5.4,4,0.5,<0.2,1.6,0.5,3.2,1.7,2.7,3.4,0.66,234
1404,SNOW BOWL MT,2007,5.2,6.3,2.2,0.8,1.4,1.1,<1,2,3.5,3.6,0.72,229
1405,SNOW BOWL MT,2008,5,10,5.5,0.8,1.2,0.7,3.4,1.1,3.1,3.4,0.5,236
1406,SNOW BOWL MT,2009,5.3,5,<0.4,<0.2,<1,0.5,1.8,0.6,2.3,2.8,0.46,221
1407,SNOW BOWL MT,2010,5.2,6.3,2.5,0.8,1.1,1.2,4,0.8,5,3.6,0.58,152
1408,SNOW BOWL MT,2011,5.3,5,1.5,0.4,1.9,<0.4,2.3,<0.6,2.9,2.9,0.38,284
1409,SNOW BOWL MT,2012,4.8,15.8,2,<1.6,1.7,1,4.8,3.3,2.3,2.8,0.4,239
1410,SNOW BOWL MT,2013,5.1,7.9,2,<1.6,<0.9,<0.5,3.5,0.8,2.7,3.6,0.3,201
1411,SNOW BOWL MT,2014,5.5,3.2,1.5,<0.8,0.9,0.5,3,0.8,2.3,2.7,0.24,287
1412,SNOW BOWL MT,2015,5.4,4,1,0.4,0.7,0.4,2.3,0.8,1.7,2.4,0.35,218
1413,SNOW BOWL MT,2016,5.3,5,0.5,<0.2,1.3,0.5,2.6,1.4,1.7,2.7,0.35,190
1414,SNOW BOWL MT,2017,5.3,5,1,<0.2,0.9,0.3,2.2,1.1,2.3,2.8,<0.2,226
1415,SNOW BOWL MT,2018,5.5,3.2,<0.4,0.5,0.8,0.6,3.2,0.8,1.7,2.7,0.43,284
3176,SNOW BOWL MT,1993,5.4,4,<3.1,<1.7,<3,1,3.5,<1.1,5,3.4,0.3,145
3177,SNOW BOWL MT,1994,5.1,7.9,<3.1,<1.7,<3,1.5,5,2.5,6.2,6.2,1,157
3178,SNOW BOWL MT,1995,5.2,6.3,<3.1,<1.7,<3,<0.5,2.9,<1.1,3.3,3.5,0.8,170
3179,SNOW BOWL MT,1996,5.3,5,<3.1,<1.7,<0.9,1,1.6,<1.1,2.7,3.1,1.4,231
3180,SNOW BOWL MT,1997,5.1,7.9,<3.1,<1.7,,<0.5,1.6,<1.1,2.7,4,0.7,348
3181,SNOW BOWL MT,1998,5.1,7.9,0.5,0.8,3.9,<0.5,2,0.8,3.1,4.2,0.6,211
3182,SNOW BOWL MT,1999,5.3,5,1,<0.2,<1,<0.4,2.3,0.8,2.5,2.8,0.4,241
3183,SNOW BOWL MT,2000,5.2,6.3,1,0.8,<1,<0.4,2,<0.6,2.9,3.6,0.5,145
3184,SNOW BOWL MT,2001,5.1,7.9,2.5,0.8,1,1.1,2.7,<0.6,5.2,5.6,1,160
3185,SNOW BOWL MT,2002,5.3,5,1.5,0.8,<1,0.6,3,0.8,3.3,4.4,0.5,267
3186,SNOW BOWL MT,2003,5.2,6.3,2,0.8,<1,0.6,2.7,0.8,2.5,3.3,0.47,221
3187,SNOW BOWL MT,2004,4.7,20,1.6,0.4,<1,0.9,1.7,0.8,2.5,3.4,0.81,198
3188,SNOW BOWL MT,2005,5.1,7.9,5,0.8,1.6,1.3,3.5,1.7,4.2,4.7,0.58,117
3189,SNOW BOWL MT,2006,5.4,4,0.5,<0.2,1.6,0.5,3.2,1.7,2.7,3.4,0.66,234
3190,SNOW BOWL MT,2007,5.2,6.3,2.2,0.8,1.4,1.1,<1,2,3.5,3.6,0.72,229
3191,SNOW BOWL MT,2008,5,10,5.5,0.8,1.2,0.7,3.4,1.1,3.1,3.4,0.5,236
3192,SNOW BOWL MT,2009,5.3,5,<0.4,<0.2,<1,0.5,1.8,0.6,2.3,2.8,0.46,221
3193,SNOW BOWL MT,2010,5.2,6.3,2.5,0.8,1.1,1.2,4,0.8,5,3.6,0.58,152
3194,SNOW BOWL MT,2011,5.3,5,1.5,0.4,1.9,<0.4,2.3,<0.6,2.9,2.9,0.38,284
3195,SNOW BOWL MT,2012,4.8,15.8,2,<1.6,1.7,1,4.8,3.3,2.3,2.8,0.4,239
3196,SNOW BOWL MT,2013,5.1,7.9,2,<1.6,<0.9,<0.5,3.5,0.8,2.7,3.6,0.3,201
3197,SNOW BOWL MT,2014,5.5,3.2,1.5,<0.8,0.9,0.5,3,0.8,2.3,2.7,0.24,287
3198,SNOW BOWL MT,2015,5.4,4,1,0.4,0.7,0.4,2.3,0.8,1.7,2.4,0.35,218
3199,SNOW BOWL MT,2016,5.3,5,0.5,<0.2,1.3,0.5,2.6,1.4,1.7,2.7,0.35,190
3200,SNOW BOWL MT,2017,5.3,5,1,<0.2,0.9,0.3,2.2,1.1,2.3,2.8,<0.2,226
3201,SNOW BOWL MT,2018,5.5,3.2,<0.4,0.5,0.8,0.6,3.2,0.8,1.7,2.7,0.43,284
1421,SOUTH PASS WY,1993,4.9,12.6,<3.1,<1.7,<3,0.5,2.9,<1.1,9.4,7.1,0.4,117
1422,SOUTH PASS WY,1994,5.2,6.3,7.5,<1.7,3,<0.5,5,1.1,10,9.4,0.8,135
1423,SOUTH PASS WY,1995,5,10,5.5,<1.7,<3,<0.5,5.2,<1.1,10.8,10.9,0.9,150
1424,SOUTH PASS WY,1996,5.6,2.5,7.5,<1.7,3,2.6,5.2,1.7,7.7,7.9,1.2,152
1425,SOUTH PASS WY,1997,5.1,7.9,8,1.9,,0.5,2.6,1.4,9.2,8.6,1.3,165
1426,SOUTH PASS WY,1998,4.9,12.6,4,0.8,2.2,<0.5,3,0.8,7.5,9.5,0.5,104
1427,SOUTH PASS WY,1999,5.3,5,8,0.8,2.6,<0.4,5.2,1.4,7.5,8,0.5,104
1428,SOUTH PASS WY,2000,5.1,7.9,6,1.6,<1,<0.4,3.9,1.1,7.5,6.6,0.48,119
1429,SOUTH PASS WY,2001,5,10,6,0.8,1.8,<0.4,5,<0.6,10,14.3,0.7,76
1430,SOUTH PASS WY,2002,5.3,5,14.9,3.3,5,2.7,7.2,2,15.6,12.5,1.1,102
1431,SOUTH PASS WY,2003,5.8,1.6,8.5,2.5,2.5,0.9,6.2,0.6,5.4,4.6,0.76,145
1432,SOUTH PASS WY,2004,5.2,6.3,7,1.3,<1,1.8,4.5,0.8,8.1,8.4,0.91,122
1433,SOUTH PASS WY,2005,5.1,7.9,5,0.8,<1,1.6,5.4,<0.6,6.5,8.1,0.77,124
1434,SOUTH PASS WY,2006,5.1,7.9,7.5,1.6,2.9,0.5,5,1.4,8.7,8.6,,137
1435,SOUTH PASS WY,2007,5.6,2.5,13.6,3,2.6,5.2,2.8,1.7,8.1,11,1.83,71
1436,SOUTH PASS WY,2008,5.4,4,9,1.6,1.4,1.5,3.9,1.1,5.6,7.2,1.38,124
1437,SOUTH PASS WY,2009,6,1,16.9,3.3,4.7,2.7,2.1,2.5,9.4,8.6,1.55,91
1438,SOUTH PASS WY,2010,5.4,4,11,2.5,2.2,1.4,8.1,1.1,8.5,11.8,0.96,89
1439,SOUTH PASS WY,2011,5.8,1.6,12.1,2.8,2,1.7,1.9,0.6,5.8,5.6,1.34,145
1440,SOUTH PASS WY,2012,5.1,7.9,15.5,3.3,6.1,3.6,2.7,3.4,5.6,4.6,1.2,109
1441,SOUTH PASS WY,2013,5.5,3.2,15.5,5.8,1.7,4.6,5.7,1.4,6.5,8.6,2.3,79
1442,SOUTH PASS WY,2014,6.2,0.6,14.5,4.1,1.8,3.7,<0.5,1.6,4.2,4.3,2.4,112
1443,SOUTH PASS WY,2015,5.6,2.5,9.5,3.2,1.1,2.1,4.8,1.1,4.2,5.5,1.09,81
1444,SOUTH PASS WY,2016,6,1,14.4,4,2.2,1.9,3,0.8,3.5,4.4,0.96,71
1445,SOUTH PASS WY,2017,5.8,1.6,8,1.6,1.3,0.9,2.9,0.8,3.5,4.3,0.53,183
1446,SOUTH PASS WY,2018,6.1,0.8,19.1,4,3.1,1.4,6.1,2,4.4,5.6,1.28,97
3207,SOUTH PASS WY,1993,4.9,12.6,<3.1,<1.7,<3,0.5,2.9,<1.1,9.4,7.1,0.4,117
3208,SOUTH PASS WY,1994,5.2,6.3,7.5,<1.7,3,<0.5,5,1.1,10,9.4,0.8,135
3209,SOUTH PASS WY,1995,5,10,5.5,<1.7,<3,<0.5,5.2,<1.1,10.8,10.9,0.9,150
3210,SOUTH PASS WY,1996,5.6,2.5,7.5,<1.7,3,2.6,5.2,1.7,7.7,7.9,1.2,152
3211,SOUTH PASS WY,1997,5.1,7.9,8,1.9,,0.5,2.6,1.4,9.2,8.6,1.3,165
3212,SOUTH PASS WY,1998,4.9,12.6,4,0.8,2.2,<0.5,3,0.8,7.5,9.5,0.5,104
3213,SOUTH PASS WY,1999,5.3,5,8,0.8,2.6,<0.4,5.2,1.4,7.5,8,0.5,104
3214,SOUTH PASS WY,2000,5.1,7.9,6,1.6,<1,<0.4,3.9,1.1,7.5,6.6,0.48,119
3215,SOUTH PASS WY,2001,5,10,6,0.8,1.8,<0.4,5,<0.6,10,14.3,0.7,76
3216,SOUTH PASS WY,2002,5.3,5,14.9,3.3,5,2.7,7.2,2,15.6,12.5,1.1,102
3217,SOUTH PASS WY,2003,5.8,1.6,8.5,2.5,2.5,0.9,6.2,0.6,5.4,4.6,0.76,145
3218,SOUTH PASS WY,2004,5.2,6.3,7,1.3,<1,1.8,4.5,0.8,8.1,8.4,0.91,122
3219,SOUTH PASS WY,2005,5.1,7.9,5,0.8,<1,1.6,5.4,<0.6,6.5,8.1,0.77,124
3220,SOUTH PASS WY,2006,5.1,7.9,7.5,1.6,2.9,0.5,5,1.4,8.7,8.6,,137
3221,SOUTH PASS WY,2007,5.6,2.5,13.6,3,2.6,5.2,2.8,1.7,8.1,11,1.83,71
3222,SOUTH PASS WY,2008,5.4,4,9,1.6,1.4,1.5,3.9,1.1,5.6,7.2,1.38,124
3223,SOUTH PASS WY,2009,6,1,16.9,3.3,4.7,2.7,2.1,2.5,9.4,8.6,1.55,91
3224,SOUTH PASS WY,2010,5.4,4,11,2.5,2.2,1.4,8.1,1.1,8.5,11.8,0.96,89
3225,SOUTH PASS WY,2011,5.8,1.6,12.1,2.8,2,1.7,1.9,0.6,5.8,5.6,1.34,145
3226,SOUTH PASS WY,2012,5.1,7.9,15.5,3.3,6.1,3.6,2.7,3.4,5.6,4.6,1.2,109
3227,SOUTH PASS WY,2013,5.5,3.2,15.5,5.8,1.7,4.6,5.7,1.4,6.5,8.6,2.3,79
3228,SOUTH PASS WY,2014,6.2,0.6,14.5,4.1,1.8,3.7,<0.5,1.6,4.2,4.3,2.4,112
3229,SOUTH PASS WY,2015,5.6,2.5,9.5,3.2,1.1,2.1,4.8,1.1,4.2,5.5,1.09,81
3230,SOUTH PASS WY,2016,6,1,14.4,4,2.2,1.9,3,0.8,3.5,4.4,0.96,71
3231,SOUTH PASS WY,2017,5.8,1.6,8,1.6,1.3,0.9,2.9,0.8,3.5,4.3,0.53,183
3232,SOUTH PASS WY,2018,6.1,0.8,19.1,4,3.1,1.4,6.1,2,4.4,5.6,1.28,97
1447,SPRING GULCH MT,1997,5.1,7.9,5.4,<1.7,,1,4,2,5.2,7.1,,94
1448,SPRING GULCH MT,1998,5.2,6.3,4,0.8,1.3,<0.5,6.9,0.8,5.4,8.2,0.6,81
1449,SPRING GULCH MT,1999,5.6,2.5,7,0.8,<1,1.2,7,1.1,4.8,6.4,0.6,66
1450,SPRING GULCH MT,2000,5.4,4,9,3.3,<1,8.1,7,<0.6,6.7,6.6,2.1,51
1451,SPRING GULCH MT,2001,5.2,6.3,7.5,0.8,1.3,<0.4,5.9,3.9,9.2,13.8,0.9,48
1452,SPRING GULCH MT,2002,5.6,2.5,13.4,1.6,<1,1.2,7.7,0.8,3.1,11.9,0.68,61
1453,SPRING GULCH MT,2003,5.5,3.2,8,4,<1,10.1,3.9,1.4,4,7.1,3.13,66
1454,SPRING GULCH MT,2004,5,10,4.4,1.1,<1,3.3,8.6,0.8,6.5,9.4,1.35,69
1455,SPRING GULCH MT,2005,5.3,5,8,2.5,<1,3.3,5.5,1.1,4.4,6.6,1.19,38
1456,SPRING GULCH MT,2006,5.8,1.6,9,2.5,<1,4.6,6.9,1.4,3.7,8,2.53,69
1457,SPRING GULCH MT,2007,5.6,2.5,5.8,1.5,<1,1.4,3.7,0.6,3.1,7.9,0.58,71
1458,SPRING GULCH MT,2008,5.6,2.5,17.4,2.5,1.6,2.4,6.2,1.1,4,6.6,0.81,51
1459,SPRING GULCH MT,2009,5.5,3.2,7,2.5,<1,3.9,4.2,0.8,4.2,7.5,2.01,43
1460,SPRING GULCH MT,2010,5.3,5,6,1.6,1.1,1.1,8.9,0.8,4.4,8.9,0.64,58
1461,SPRING GULCH MT,2011,5.4,4,8.7,2.2,2.4,2.9,<1,1.7,3.1,6.1,3.65,81
1462,SPRING GULCH MT,2012,4.9,12.6,8.5,3.3,<0.9,5.1,<1.1,0.8,2.5,3.5,2.5,76
1463,SPRING GULCH MT,2013,5.1,7.9,5.5,<1.6,<0.9,1.3,10,0.8,3.1,8.6,0.9,64
1464,SPRING GULCH MT,2014,6,1,9,2.5,1,3.2,1.7,0.9,3.7,6.2,2.3,56
1465,SPRING GULCH MT,2015,5.6,2.5,3.6,1.8,0.5,2.3,5,1.1,2.7,4.7,0.82,43
1466,SPRING GULCH MT,2016,5.5,3.2,2.5,0.8,0.4,1.3,4.7,0.6,1.5,5.1,2.53,61
1467,SPRING GULCH MT,2017,5.5,3.2,6.5,2.5,0.9,4.6,6.4,1.1,2.5,3.6,2.62,56
1468,SPRING GULCH MT,2018,5.5,3.2,3.5,1.3,0.8,2.1,5,0.8,2.5,5.4,1.17,61
3233,SPRING GULCH MT,1997,5.1,7.9,5.4,<1.7,,1,4,2,5.2,7.1,,94
3234,SPRING GULCH MT,1998,5.2,6.3,4,0.8,1.3,<0.5,6.9,0.8,5.4,8.2,0.6,81
3235,SPRING GULCH MT,1999,5.6,2.5,7,0.8,<1,1.2,7,1.1,4.8,6.4,0.6,66
3236,SPRING GULCH MT,2000,5.4,4,9,3.3,<1,8.1,7,<0.6,6.7,6.6,2.1,51
3237,SPRING GULCH MT,2001,5.2,6.3,7.5,0.8,1.3,<0.4,5.9,3.9,9.2,13.8,0.9,48
3238,SPRING GULCH MT,2002,5.6,2.5,13.4,1.6,<1,1.2,7.7,0.8,3.1,11.9,0.68,61
3239,SPRING GULCH MT,2003,5.5,3.2,8,4,<1,10.1,3.9,1.4,4,7.1,3.13,66
3240,SPRING GULCH MT,2004,5,10,4.4,1.1,<1,3.3,8.6,0.8,6.5,9.4,1.35,69
3241,SPRING GULCH MT,2005,5.3,5,8,2.5,<1,3.3,5.5,1.1,4.4,6.6,1.19,38
3242,SPRING GULCH MT,2006,5.8,1.6,9,2.5,<1,4.6,6.9,1.4,3.7,8,2.53,69
3243,SPRING GULCH MT,2007,5.6,2.5,5.8,1.5,<1,1.4,3.7,0.6,3.1,7.9,0.58,71
3244,SPRING GULCH MT,2008,5.6,2.5,17.4,2.5,1.6,2.4,6.2,1.1,4,6.6,0.81,51
3245,SPRING GULCH MT,2009,5.5,3.2,7,2.5,<1,3.9,4.2,0.8,4.2,7.5,2.01,43
3246,SPRING GULCH MT,2010,5.3,5,6,1.6,1.1,1.1,8.9,0.8,4.4,8.9,0.64,58
3247,SPRING GULCH MT,2011,5.4,4,8.7,2.2,2.4,2.9,<1,1.7,3.1,6.1,3.65,81
3248,SPRING GULCH MT,2012,4.9,12.6,8.5,3.3,<0.9,5.1,<1.1,0.8,2.5,3.5,2.5,76
3249,SPRING GULCH MT,2013,5.1,7.9,5.5,<1.6,<0.9,1.3,10,0.8,3.1,8.6,0.9,64
3250,SPRING GULCH MT,2014,6,1,9,2.5,1,3.2,1.7,0.9,3.7,6.2,2.3,56
3251,SPRING GULCH MT,2015,5.6,2.5,3.6,1.8,0.5,2.3,5,1.1,2.7,4.7,0.82,43
3252,SPRING GULCH MT,2016,5.5,3.2,2.5,0.8,0.4,1.3,4.7,0.6,1.5,5.1,2.53,61
3253,SPRING GULCH MT,2017,5.5,3.2,6.5,2.5,0.9,4.6,6.4,1.1,2.5,3.6,2.62,56
3254,SPRING GULCH MT,2018,5.5,3.2,3.5,1.3,0.8,2.1,5,0.8,2.5,5.4,1.17,61
1473,SUNLIGHT PEAK CO,1993,5.1,7.9,4.3,2.1,<3,0.8,3.2,<1.1,7.1,6.8,0.2,157
1474,SUNLIGHT PEAK CO,1994,5.2,6.3,10.5,2.5,<3,2.8,7.2,1.4,8.5,11.5,1.6,127
1475,SUNLIGHT PEAK CO,1995,5.2,6.3,6,<1.7,<3,<0.5,4.8,<1.1,7.1,8.1,0.8,211
1476,SUNLIGHT PEAK CO,1996,5.5,3.2,12.7,2.3,1.7,2,4.2,1.1,6.9,10.9,0.8,203
1477,SUNLIGHT PEAK CO,1997,5.3,5,6.1,<1.7,,0.5,2.8,<1.1,6,8.6,0.7,206
1478,SUNLIGHT PEAK CO,1998,5,10,4.5,0.8,1.7,<0.5,4.3,1.1,7.3,9.5,0.4,175
1479,SUNLIGHT PEAK CO,1999,6.5,0.3,36.9,2.5,2.1,1.4,4.4,1.1,6.2,8.9,0.6,140
1480,SUNLIGHT PEAK CO,2000,5,10,7.5,1.6,1.3,0.5,4.8,0.8,6.2,9.3,0.46,160
1481,SUNLIGHT PEAK CO,2001,5.4,4,9,1.6,1.8,0.6,6.5,<0.6,7.3,12.4,0.4,178
1482,SUNLIGHT PEAK CO,2002,6.5,0.3,49.3,4,1.6,1.2,5.3,1.1,6.7,14.3,0.52,160
1483,SUNLIGHT PEAK CO,2003,5.2,6.3,10,4.9,1.3,2,6.4,1.1,6.5,12.6,1.6,160
1484,SUNLIGHT PEAK CO,2004,5.3,5,18.5,3.9,<1,5.4,6.4,1.7,9,14.5,2.37,132
1485,SUNLIGHT PEAK CO,2005,5.2,6.3,3.5,<0.2,<1,<0.4,3.7,<0.6,3.7,6.2,<0.2,193
1486,SUNLIGHT PEAK CO,2006,5.8,1.6,10.5,1.6,2.1,0.5,5.9,1.4,6.7,9.9,0.81,224
1487,SUNLIGHT PEAK CO,2007,5.7,2,20.8,2.1,1.6,0.9,3.9,1.1,5.8,10.4,0.51,170
1488,SUNLIGHT PEAK CO,2008,5.6,2.5,20.4,3.3,4.6,0.7,5.2,2.8,5.8,9.6,0.3,226
1489,SUNLIGHT PEAK CO,2009,6.7,0.2,43.8,2.5,3.8,2.4,4.2,1.4,6.2,7.2,0.51,221
1490,SUNLIGHT PEAK CO,2010,5.4,4,7,1.6,1.2,1.5,4.5,0.8,4.4,8.9,0.4,152
1491,SUNLIGHT PEAK CO,2011,5.8,1.6,12.4,2,2,0.8,5.7,0.6,4.8,8.3,0.55,188
1492,SUNLIGHT PEAK CO,2012,5.4,4,18,3.3,2.2,1,6,1.6,5.2,7.6,0.4,132
1493,SUNLIGHT PEAK CO,2013,5.5,3.2,12.5,2.5,<0.9,<0.5,5.7,1.1,3.5,7.9,0.3,155
1494,SUNLIGHT PEAK CO,2014,5.9,1.3,10,1.6,2,1.8,6.3,1.2,5,7.3,0.66,201
1495,SUNLIGHT PEAK CO,2015,5.8,1.6,8.9,2.1,1.9,1.2,7,1.1,4.2,6.1,0.3,127
1496,SUNLIGHT PEAK CO,2016,6.4,0.4,21.9,2.5,3.5,0.7,5.4,1.4,5.6,5.9,0.31,193
1497,SUNLIGHT PEAK CO,2017,5.6,2.5,12,1.6,0.9,2.1,4.2,1.1,3.5,6,2.96,142
1498,SUNLIGHT PEAK CO,2018,6.5,0.3,24.3,3.1,4,1,6.2,2.5,4.6,6.6,0.53,150
3259,SUNLIGHT PEAK CO,1993,5.1,7.9,4.3,2.1,<3,0.8,3.2,<1.1,7.1,6.8,0.2,157
3260,SUNLIGHT PEAK CO,1994,5.2,6.3,10.5,2.5,<3,2.8,7.2,1.4,8.5,11.5,1.6,127
3261,SUNLIGHT PEAK CO,1995,5.2,6.3,6,<1.7,<3,<0.5,4.8,<1.1,7.1,8.1,0.8,211
3262,SUNLIGHT PEAK CO,1996,5.5,3.2,12.7,2.3,1.7,2,4.2,1.1,6.9,10.9,0.8,203
3263,SUNLIGHT PEAK CO,1997,5.3,5,6.1,<1.7,,0.5,2.8,<1.1,6,8.6,0.7,206
3264,SUNLIGHT PEAK CO,1998,5,10,4.5,0.8,1.7,<0.5,4.3,1.1,7.3,9.5,0.4,175
3265,SUNLIGHT PEAK CO,1999,6.5,0.3,36.9,2.5,2.1,1.4,4.4,1.1,6.2,8.9,0.6,140
3266,SUNLIGHT PEAK CO,2000,5,10,7.5,1.6,1.3,0.5,4.8,0.8,6.2,9.3,0.46,160
3267,SUNLIGHT PEAK CO,2001,5.4,4,9,1.6,1.8,0.6,6.5,<0.6,7.3,12.4,0.4,178
3268,SUNLIGHT PEAK CO,2002,6.5,0.3,49.3,4,1.6,1.2,5.3,1.1,6.7,14.3,0.52,160
3269,SUNLIGHT PEAK CO,2003,5.2,6.3,10,4.9,1.3,2,6.4,1.1,6.5,12.6,1.6,160
3270,SUNLIGHT PEAK CO,2004,5.3,5,18.5,3.9,<1,5.4,6.4,1.7,9,14.5,2.37,132
