,StationName,WaterYear,pH,H (ueq/L),Ca (ueq/L),Mg (ueq/L),Na (ueq/L),K (ueq/L),NH4 (ueq/L),Cl (ueq/L),SO4 (ueq/L),NO3 (ueq/L),DOC (mg/L),Snow Depth (cm)
1866,BIG MOUNTAIN MT,1994,5,10,<3.1,<1.7,<3,<0.5,3.9,<1.1,4.8,6.2,0.6,229
1867,BIG MOUNTAIN MT,1995,5.2,6.3,<3.1,<1.7,<3,0.5,3.3,<1.1,3.7,4.4,0.7,267
1868,BIG MOUNTAIN MT,1996,5.2,6.3,<3.1,<1.7,<0.9,0.5,2.2,<1.1,2.9,3.1,0.6,287
1869,BIG MOUNTAIN MT,1997,5,10,<3.1,<1.7,,<0.5,2,<1.1,3.7,4.6,,366
1870,BIG MOUNTAIN MT,1998,5.1,7.9,2,<0.2,1.3,<0.5,3,1.1,3.5,5.1,0.5,231
1871,BIG MOUNTAIN MT,1999,5.2,6.3,1,<0.2,<1,<0.4,4,0.8,3.3,3.7,0.3,366
1872,BIG MOUNTAIN MT,2000,5.2,6.3,1,0.8,<1,<0.4,2.4,<0.6,3.1,4.9,0.5,267
1873,BIG MOUNTAIN MT,2001,5,10,2,0.8,1.5,<0.4,4.3,<0.6,6,8.4,0.5,132
1874,BIG MOUNTAIN MT,2002,5.3,5,1.5,<0.2,5.4,<0.4,4.9,0.6,2.7,4.9,0.36,297
1875,BIG MOUNTAIN MT,2003,5.2,6.3,2.5,0.8,1.1,<0.4,4,0.8,2.7,4.6,0.4,259
1876,BIG MOUNTAIN MT,2004,5.1,7.9,0.7,0.2,<1,1.2,3.3,1.4,3.5,5.3,0.62,251
1877,BIG MOUNTAIN MT,2005,5.1,7.9,<0.4,<0.2,<1,<0.4,3,1.1,3.5,5.5,0.23,160
1878,BIG MOUNTAIN MT,2006,5.3,5,<0.4,<0.2,<1,<0.4,2.8,1.4,2.3,3.8,0.21,305
1879,BIG MOUNTAIN MT,2007,5.2,6.3,1.7,0.4,1.4,<0.4,2.2,1.4,3.1,4.1,0.29,259
1880,BIG MOUNTAIN MT,2008,5.1,7.9,4,<0.2,<1,<0.4,2.2,0.6,2.5,4,0.25,297
1881,BIG MOUNTAIN MT,2009,5.3,5,<0.4,<0.2,<1,<0.4,2.4,<0.6,2.3,3.1,0.22,239
1882,BIG MOUNTAIN MT,2010,5.3,5,1.5,0.8,1.1,0.6,4,0.8,2.9,4.1,0.48,196
1883,BIG MOUNTAIN MT,2011,5.2,6.3,0.9,0.2,<1,<0.4,2.4,<0.6,2.5,3.4,0.24,315
1884,BIG MOUNTAIN MT,2012,4.7,20,2,<1.6,1.3,<0.5,4.7,1.1,2.9,3.9,0.2,264
1885,BIG MOUNTAIN MT,2013,5,10,3.5,<1.6,<0.9,<0.5,3.5,0.8,2.7,4.3,0.2,254
1886,BIG MOUNTAIN MT,2014,5.5,3.2,1.5,<0.8,0.7,<0.3,2.6,0.5,2.3,3.7,0.3,254
1887,BIG MOUNTAIN MT,2015,5.4,4,0.7,0.2,0.4,0.2,2.2,<0.6,1.5,2.5,<0.2,196
1888,BIG MOUNTAIN MT,2016,5.3,5,0.5,<0.2,0.9,0.4,2.4,<0.6,1.5,2.5,0.31,269
1889,BIG MOUNTAIN MT,2017,5.3,5,0.5,<0.2,0.9,0.3,2.6,0.8,2.5,3.5,0.28,312
1890,BIG MOUNTAIN MT,2018,5.4,4,1.4,0.6,1,0.2,2.7,0.8,1.9,3.4,0.37,297
105,BIG SKY MT,1993,5.4,4,5.1,<1.7,4.3,0.5,5.4,1.1,6.7,7.6,0.5,137
106,BIG SKY MT,1994,5.8,1.6,8.1,<1.7,4.8,0.8,6,1.7,7.3,6.9,0.7,173
107,BIG SKY MT,1995,5.4,4,4.5,<1.7,<3,0.5,4.4,<1.1,4.2,5.1,0.7,196
108,BIG SKY MT,1996,5.6,2.5,4.3,<1.7,<0.9,1.3,2.3,<1.1,3.3,5.2,0.5,257
109,BIG SKY MT,1997,5.4,4,<3.1,<1.7,,<0.5,2.4,<1.1,2.1,3.4,0.6,188
110,BIG SKY MT,1998,5.2,6.3,3.5,0.8,0.9,<0.5,3.7,0.8,3.5,5.6,0.7,127
111,BIG SKY MT,1999,5.5,3.2,5.5,0.8,<1,<0.4,4.2,1.4,3.3,5.4,0.3,239
112,BIG SKY MT,2000,5.5,3.2,5,1.6,<1,0.7,4,<0.6,2.5,4.6,0.6,119
113,BIG SKY MT,2001,5.4,4,4,0.8,<1,0.5,4.2,<0.6,4.4,6.6,0.5,124
114,BIG SKY MT,2002,5.5,3.2,5,0.8,<1,0.5,4.5,0.6,2.9,4.7,0.62,119
115,BIG SKY MT,2003,5.7,2,9.5,2.5,4.8,0.8,4.7,3.1,3.7,4.9,0.54,178
116,BIG SKY MT,2004,5.4,4,2.7,0.4,<1,<0.4,3,0.6,2.9,4.4,0.28,76
117,BIG SKY MT,2005,5.5,3.2,9,1.6,<1,0.7,4.7,2.5,3.1,6,0.31,58
118,BIG SKY MT,2006,5.9,1.3,7,1.6,3.5,0.7,5.7,3.4,5,4.6,0.51,150
119,BIG SKY MT,2007,5.6,2.5,4.5,0.7,<1,0.6,3.7,0.8,2.7,3.8,0.37,114
120,BIG SKY MT,2008,5.9,1.3,13.4,1.6,1.3,0.8,8,1.1,5.2,7.2,0.5,150
121,BIG SKY MT,2009,5.7,2,4.5,0.8,2.2,0.7,4.2,0.8,2.7,4.6,0.77,102
122,BIG SKY MT,2010,5.5,3.2,5.5,1.6,2.6,2.3,4.8,3.1,3.7,6.3,0.59,165
123,BIG SKY MT,2011,5.8,1.6,8,1.6,5.4,0.7,3.4,4.2,3.5,4,0.66,264
124,BIG SKY MT,2012,5.1,7.9,6.5,<1.6,1.3,0.8,6.2,1.4,2.5,3,0.4,249
125,BIG SKY MT,2013,5.4,4,8.5,<1.6,2.6,0.5,6.4,3.1,3.1,5.7,0.5,147
126,BIG SKY MT,2014,6,1,7,1.6,4.3,0.6,3.2,4.3,2.3,3.4,0.35,259
127,BIG SKY MT,2015,5.8,1.6,7.8,1.9,5,0.9,4.4,2.5,4.6,3.9,0.57,147
128,BIG SKY MT,2016,5.6,2.5,4,0.8,1.3,0.6,4.8,<0.6,1.9,3.6,0.42,130
129,BIG SKY MT,2017,5.6,2.5,5,0.8,2.6,0.4,3.7,1.4,2.9,3.4,0.32,132
130,BIG SKY MT,2018,5.7,2,5.2,1.3,1.1,0.7,5.8,0.8,2.3,4,0.68,175
1891,BIG SKY MT,1993,5.4,4,5.1,<1.7,4.3,0.5,5.4,1.1,6.7,7.6,0.5,137
1892,BIG SKY MT,1994,5.8,1.6,8.1,<1.7,4.8,0.8,6,1.7,7.3,6.9,0.7,173
1893,BIG SKY MT,1995,5.4,4,4.5,<1.7,<3,0.5,4.4,<1.1,4.2,5.1,0.7,196
1894,BIG SKY MT,1996,5.6,2.5,4.3,<1.7,<0.9,1.3,2.3,<1.1,3.3,5.2,0.5,257
1895,BIG SKY MT,1997,5.4,4,<3.1,<1.7,,<0.5,2.4,<1.1,2.1,3.4,0.6,188
1896,BIG SKY MT,1998,5.2,6.3,3.5,0.8,0.9,<0.5,3.7,0.8,3.5,5.6,0.7,127
1897,BIG SKY MT,1999,5.5,3.2,5.5,0.8,<1,<0.4,4.2,1.4,3.3,5.4,0.3,239
1898,BIG SKY MT,2000,5.5,3.2,5,1.6,<1,0.7,4,<0.6,2.5,4.6,0.6,119
1899,BIG SKY MT,2001,5.4,4,4,0.8,<1,0.5,4.2,<0.6,4.4,6.6,0.5,124
1900,BIG SKY MT,2002,5.5,3.2,5,0.8,<1,0.5,4.5,0.6,2.9,4.7,0.62,119
