,StationName,WaterYear,pH,Hydrogen,Calcium,Magnesium,Sodium,Potassium,Ammonium,Chloride,Sulfate,Nitrate,Dissolved_organic_carbon,Snow_depth
160,BROOKLYN LAKE WY,2012,5.4,4.0,21.5,4.9,5.2,2.8,3.7,3.2,7.7,6.8,1.4,155.0
161,BROOKLYN LAKE WY,2013,5.6,2.5,16.5,3.3,2.6,2.6,8.6,1.7,7.9,8.6,1.2,173.0
162,BROOKLYN LAKE WY,2014,5.9,1.3,9.5,2.5,2.1,1.6,6.5,1.4,5.8,6.6,0.72,274.0
163,BROOKLYN LAKE WY,2015,5.8,1.6,7.8,1.6,1.5,0.9,5.8,1.1,4.6,6.2,0.52,185.0
164,BROOKLYN LAKE WY,2016,5.7,2.0,11,1.6,2.6,1.7,4.9,1.1,4.6,6,0.69,201.0
165,BROOKLYN LAKE WY,2017,5.6,2.5,14.4,3.3,1.7,2.5,4.8,1.4,5,6.8,1.83,178.0
166,BROOKLYN LAKE WY,2018,6.0,1.0,11.4,2.4,3.5,1.2,7.8,2,5.6,5.8,0.54,226.0
167,BRUMLEY CO,1993,5.2,6.3,3.5,<1.7,<3,0.5,2.2,<1.1,6.2,5.6,0.3,142.0
168,BRUMLEY CO,1994,5.2,6.3,9.5,<1.7,<3,1,4.3,2,5.4,10.2,0.7,97.0
169,BRUMLEY CO,1995,5.2,6.3,3.5,<1.7,<3,<0.5,2.5,<1.1,2.9,6.1,0.8,135.0
170,BRUMLEY CO,1996,5.4,4.0,7,<1.7,<0.9,1.5,1.7,<1.1,4.6,6.6,0.6,137.0
171,BRUMLEY CO,1997,5.2,6.3,3.7,<1.7,,0.5,1.3,<1.1,4,7.1,0.8,89.0
172,BRUMLEY CO,1998,4.9,12.6,3,0.8,1.3,<0.5,2.7,0.8,5.4,8.4,0.3,84.0
173,BRUMLEY CO,1999,5.4,4.0,10.5,1.6,1.5,0.9,3.7,1.4,5.4,10.4,0.5,97.0
174,BRUMLEY CO,2000,5.1,7.9,5.5,1.6,<1,2,3.9,<0.6,5.2,8.6,0.8,89.0
175,BRUMLEY CO,2001,5.2,6.3,12,2.5,5.2,1.4,14.6,1.1,13.7,15.2,1,109.0
176,BRUMLEY CO,2002,6.4,0.4,31.9,9.8,1.2,7.2,<1,1.7,5.8,10.5,3.47,66.0
177,BRUMLEY CO,2003,5.2,6.3,8,2.5,1,2.9,4.3,1.4,4.2,9.5,2.17,114.0
178,BRUMLEY CO,2004,5.1,7.9,8.4,2.2,<1,6.6,4.5,3.1,5,11.4,2.07,79.0
179,BRUMLEY CO,2005,5.3,5.0,5.5,0.8,1.3,0.5,2.7,<0.6,3.5,6.8,<0.2,130.0
180,BRUMLEY CO,2006,5.9,1.3,9,0.8,1.2,<0.4,3,0.8,4.4,8.2,0.27,150.0
181,BRUMLEY CO,2007,5.6,2.5,17.8,2,3.6,1.7,3.8,1.4,8.3,10.5,0.69,122.0
182,BRUMLEY CO,2008,5.1,7.9,12,1.6,3.1,0.6,2.4,1.7,4.2,7.3,0.32,165.0
183,BRUMLEY CO,2009,6.2,0.6,19.9,2.5,2.2,1.2,2.9,1.1,4.8,7.3,0.77,124.0
184,BRUMLEY CO,2010,5.2,6.3,5.5,1.6,<1,0.6,3.5,<0.6,3.1,8.1,0.38,127.0
185,BRUMLEY CO,2011,5.8,1.6,10.4,1.6,1.4,0.7,3.2,<0.6,3.3,6.4,0.5,140.0
186,BRUMLEY CO,2012,5.3,5.0,19,4.1,3.9,1.3,4,3.2,4.4,6.8,0.9,99.0
187,BRUMLEY CO,2013,5.5,3.2,12.5,2.5,1.7,0.8,4.3,2,4.4,7.9,0.4,102.0
188,BRUMLEY CO,2014,6.1,0.8,13,2.5,2.8,0.6,3.9,1.3,4.8,6.2,0.34,157.0
189,BRUMLEY CO,2015,5.5,3.2,4.2,0.8,1,0.2,3.5,0.6,2.5,5.1,<0.2,112.0
190,BRUMLEY CO,2016,5.9,1.3,9,1.6,1.7,0.9,3.3,0.8,2.7,4.6,0.22,117.0
191,BRUMLEY CO,2017,5.6,2.5,3.5,0.8,0.4,0.4,2.1,0.6,1.7,3.9,0.39,104.0
192,BRUMLEY CO,2018,6.2,0.6,15.7,2.9,2,1,4.8,1.7,3.5,6.8,0.52,97.0
193,BUFFALO PASS CO,1993,4.8,15.8,<0.4,<0.2,1.7,<0.4,3.9,<1.1,11.5,8.4,<0.4,325.0
194,BUFFALO PASS CO,1994,4.8,15.8,10,2.2,2,<0.4,10.9,1.4,19.8,17.3,0.6,259.0
195,BUFFALO PASS CO,1995,4.9,12.6,5,<0.2,1,<0.4,5.8,1.4,12.1,10.8,0.6,279.0
196,BUFFALO PASS CO,1996,5.0,10.0,5.8,<1.7,1.3,1,3.7,<1.1,9,10.3,0.7,300.0
197,BUFFALO PASS CO,1997,5.9,1.3,4.7,1.8,,<0.5,2.7,<1.1,9.8,7.1,0.8,432.0
198,BUFFALO PASS CO,1998,4.7,20.0,3.5,0.8,0.4,<0.5,4.7,0.8,11,11,0.7,343.0
199,BUFFALO PASS CO,1999,5.2,6.3,12.9,1.6,2.5,0.5,5.4,1.7,12.1,12.4,0.3,340.0
200,BUFFALO PASS CO,2000,4.9,12.6,7,1.6,1.3,0.9,5.5,<0.6,9.8,8.1,0.38,338.0
201,BUFFALO PASS CO,2001,5.0,10.0,7,1.6,2.7,0.5,6.5,<0.6,11.2,13.1,,310.0
202,BUFFALO PASS CO,2002,5.2,6.3,11.5,2.5,1.8,0.7,5.8,1.1,9.4,15.2,0.53,259.0
203,BUFFALO PASS CO,2003,5.8,1.6,19.4,4,2.9,1,7.5,1.4,11,13.1,0.52,376.0
204,BUFFALO PASS CO,2004,5.0,10.0,6.4,1.2,<1,1.4,6.5,1.7,9.4,11.9,0.8,279.0
205,BUFFALO PASS CO,2005,5.1,7.9,4.5,0.8,1.1,0.7,4.8,0.6,7.1,7.9,0.21,351.0
206,BUFFALO PASS CO,2006,5.1,7.9,5,0.8,1.3,0.6,5,1.1,7.7,11.5,0.5,358.0
207,BUFFALO PASS CO,2007,5.2,6.3,8.6,1.9,1.2,1.5,5.2,1.1,8.7,11.5,0.64,290.0
208,BUFFALO PASS CO,2008,5.1,7.9,11,1.6,2.3,0.6,4.2,1.1,6.9,10.2,0.39,384.0
209,BUFFALO PASS CO,2009,6.1,0.8,19.4,1.6,2.1,0.6,4.9,1.1,6.9,8.4,0.63,427.0
210,BUFFALO PASS CO,2010,5.2,6.3,8.5,1.6,1.6,0.5,5.5,1.1,6.9,9.4,0.4,358.0
211,BUFFALO PASS CO,2011,5.2,6.3,2.5,0.6,<1,<0.4,2.9,<0.6,2.7,5.3,<0.2,470.0
212,BUFFALO PASS CO,2012,5.1,7.9,12,2.5,2.6,1.3,6.5,2.1,7.5,9,0.6,226.0
213,BUFFALO PASS CO,2013,5.2,6.3,14,3.3,1.7,1.3,7.9,1.7,7.5,10,0.7,277.0
214,BUFFALO PASS CO,2014,5.7,2.0,12.5,2.5,2.6,0.8,6.9,1.5,7.3,8.9,0.35,493.0
215,BUFFALO PASS CO,2015,5.4,4.0,7.1,1.7,2,0.4,6.9,1.1,6.5,8.1,0.32,318.0
216,BUFFALO PASS CO,2016,5.5,3.2,6,0.8,1.3,0.5,6.4,1.1,5.6,6.4,<0.2,348.0
217,BUFFALO PASS CO,2017,5.8,1.6,4.4,1.1,0.8,1.3,4.4,1.1,5.2,5.9,0.28,310.0
218,BUFFALO PASS CO,2018,6.0,1.0,12.8,2.6,4.7,1.2,7.9,2.5,7.1,6.8,0.61,315.0
220,CAMERON PASS CO,1993,5.0,10.0,4.7,<1.7,<3,1,3.9,2,9,7.3,0.6,259.0
221,CAMERON PASS CO,1994,5.0,10.0,6.1,<1.7,<3,1,4.7,1.1,7.9,9.3,0.6,213.0
222,CAMERON PASS CO,1995,5.0,10.0,6.9,<1.7,3.9,1.3,4.7,3.1,8.3,12.8,1.4,170.0
223,CAMERON PASS CO,1996,5.2,6.3,4.6,<1.7,1.3,1.3,2.6,1.1,6,6.1,1.3,206.0
224,CAMERON PASS CO,1997,4.9,12.6,3.7,<1.7,,<0.5,2.3,1.4,6,9.3,0.6,190.0
225,CAMERON PASS CO,1998,4.9,12.6,5.5,0.8,2.2,0.5,4,2,8.7,10.8,0.8,165.0
226,CAMERON PASS CO,1999,5.4,4.0,14.4,2.5,3.9,1.3,4.9,3.1,9.4,11.1,0.7,173.0
227,CAMERON PASS CO,2000,5.0,10.0,5,1.6,1,0.9,5.2,0.8,6.5,8.7,0.71,201.0
228,CAMERON PASS CO,2001,5.2,6.3,6,0.8,2,0.6,6.4,<0.6,8.1,11.8,0.56,147.0
229,CAMERON PASS CO,2002,5.3,5.0,11,2.5,3.6,0.8,4,1.7,8.1,12.6,0.67,122.0
230,CAMERON PASS CO,2003,5.1,7.9,5.5,2.5,1.3,0.8,4.2,0.8,6,8.9,0.5,231.0
231,CAMERON PASS CO,2004,5.0,10.0,5.8,1,2.1,2,4.9,2.8,6.7,11.9,1.01,132.0
232,CAMERON PASS CO,2005,5.3,5.0,7,1.6,2.1,2,5.5,1.4,6.5,7.9,0.67,188.0
233,CAMERON PASS CO,2006,5.1,7.9,5,0.8,3.5,0.5,4.4,3.7,6.2,9,0.4,201.0
234,CAMERON PASS CO,2007,5.3,5.0,8.8,1.6,12.8,1.7,3.2,13.3,5,8.7,0.61,178.0
235,CAMERON PASS CO,2008,5.0,10.0,9,0.8,6.3,1.6,3.5,6.8,4.2,8.2,0.73,168.0
236,CAMERON PASS CO,2009,5.8,1.6,11,1.6,5.3,1.3,4.7,4.2,5.6,6.8,0.68,147.0
237,CAMERON PASS CO,2010,5.2,6.3,8.5,2.5,1.6,2.3,6.2,1.7,5.6,9.7,0.98,142.0
238,CAMERON PASS CO,2011,5.4,4.0,6.9,1.4,2.4,1.9,3.3,2,4.4,6.6,1.05,236.0
239,CAMERON PASS CO,2012,5.3,5.0,22.5,4.1,7.8,1.3,6.4,5.2,7.3,6.4,0.7,132.0
240,CAMERON PASS CO,2013,5.4,4.0,10.5,1.6,1.3,1,5.7,1.4,4.6,7.1,0.5,160.0
241,CAMERON PASS CO,2014,5.8,1.6,8,1.6,1.9,1,5.4,1.1,5.2,6.3,0.43,239.0
242,CAMERON PASS CO,2015,5.6,2.5,7,1.7,1.9,2.2,5.9,1.4,4.4,5.7,0.68,188.0
243,CAMERON PASS CO,2016,5.8,1.6,8,0.8,1.7,1,4.5,1.1,3.3,5.3,0.22,193.0
244,CAMERON PASS CO,2017,5.4,4.0,4,0.8,2.2,0.7,2.6,2.3,2.9,3.9,0.48,124.0
245,CAMERON PASS CO,2018,6.0,1.0,12.9,2.4,8.2,1.2,5.8,6.8,5.2,5.6,0.7,185.0
246,CANYON WY,1993,5.1,7.9,<3.1,<1.7,,<0.5,3.2,1.1,5,6,0.4,104.0
247,CANYON WY,1994,5.9,1.3,5,<1.7,5.2,1.8,8.2,2.3,7.5,7,0.8,84.0
248,CANYON WY,1995,5.1,7.9,<3.1,<1.7,<3,<0.5,4.4,<1.1,3.3,5.6,0.4,127.0
249,CANYON WY,1996,5.4,4.0,<3.1,<1.7,0.9,0.8,3.4,<1.1,2.9,4.4,0.8,165.0
250,CANYON WY,1997,5.4,4.0,<3.1,<1.7,,<0.5,2,<1.1,2.3,3.8,0.6,173.0
251,CANYON WY,1998,5.1,7.9,2,0.8,0.9,<0.5,4.2,1.4,3.3,7.1,0.5,109.0
252,CANYON WY,1999,5.4,4.0,2,<0.2,<1,<0.4,6.4,1.4,3.3,5.9,0.3,147.0
253,CANYON WY,2000,5.4,4.0,4,0.8,1.7,<0.4,5.5,<0.6,3.3,6.9,,102.0
254,CANYON WY,2001,5.2,6.3,2.5,0.8,1,<0.4,6,<0.6,4.4,9.3,0.46,89.0
255,CANYON WY,2002,5.3,5.0,3,0.8,1.3,<0.4,6.7,1.1,3.1,7.3,0.29,109.0
256,CANYON WY,2003,5.6,2.5,5.5,2.5,1.7,0.6,7.7,0.8,4.6,7.1,0.31,109.0
